Model,Mrp,Rating,Review,Specs,Brand,Model_name,Color,Price,Ratings,Reviews,RAM,ROM,Expandable Upto
"REDMI Note 10 Lite (Glacier White, 128 GB)","₹19,900",4.3,843 Ratings & 67 Reviews,6 GB RAM | 128 GB ROM,REDMI,Note 10 Lite,Glacier White,19900.0,843.0,67.0,6.0,128.0,
"REDMI 10 Power (Sporty Orange, 128 GB)","₹13,949",4.1,503 Ratings & 32 Reviews,8 GB RAM | 128 GB ROM,REDMI,10 Power,Sporty Orange,13949.0,503.0,32.0,8.0,128.0,
"REDMI Note 10 Pro (Vintage Bronze, 128 GB)","₹17,999",4.3,"41,637 Ratings & 3,899 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,REDMI,Note 10 Pro,Vintage Bronze,17999.0,41637.0,3899.0,6.0,128.0,512 GB
DIZO Star 500,"₹1,890",4.0,"12,294 Ratings & 1,460 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 64 GB,DIZO,Star 500,,1890.0,12294.0,1460.0,,,64 GB
"OPPO Reno8 5G (Shimmer Black, 128 GB)","₹29,999",4.3,"32,029 Ratings & 4,184 Reviews",8 GB RAM | 128 GB ROM,OPPO,Reno8 5G,Shimmer Black,29999.0,32029.0,4184.0,8.0,128.0,
"OPPO Reno8 5G (Shimmer Gold, 128 GB)","₹29,999",4.3,"32,029 Ratings & 4,184 Reviews",8 GB RAM | 128 GB ROM,OPPO,Reno8 5G,Shimmer Gold,29999.0,32029.0,4184.0,8.0,128.0,
"Tecno Pop 5 LTE (Deepsea Luster, 32 GB)","₹6,489",4.2,667 Ratings & 41 Reviews,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,TECNO,Pop 5 LTE,Deepsea Luster,6489.0,667.0,41.0,2.0,32.0,256 GB
"Tecno Pop 5 LTE (Ice Blue, 32 GB)","₹6,485",4.2,667 Ratings & 41 Reviews,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,TECNO,Pop 5 LTE,Ice Blue,6485.0,667.0,41.0,2.0,32.0,256 GB
itel IT5626,"₹1,749",4.0,"1,205 Ratings & 127 Reviews",8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,ITEL,IT5626,,1749.0,1205.0,127.0,,,32 GB
"REDMI K50i 5G (Stealth Black, 128 GB)","₹22,999",4.2,874 Ratings & 126 Reviews,6 GB RAM | 128 GB ROM,REDMI,K50i 5G,Stealth Black,22999.0,874.0,126.0,6.0,128.0,
Nokia TA-1304/105 SS,"₹1,449",4.2,"62,955 Ratings & 4,933 Reviews",4 MB RAM | 4 MB ROM,NOKIA,TA 1304 105 SS,,1449.0,62955.0,4933.0,,,
Micromax J2,₹990,3.7,301 Ratings & 17 Reviews,32 MB RAM | 32 MB ROM,MICROMAX,J2,,990.0,301.0,17.0,,,
KARBONN K106s,₹998,3.4,8 Ratings & 0 Reviews,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,KARBONN,K106s,,998.0,8.0,0.0,,,16 GB
itel it2163S,₹989,4.0,563 Ratings & 53 Reviews,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,ITEL,it2163S,,989.0,563.0,53.0,,,32 GB
"POCO X4 Pro 5G (Laser Blue, 64 GB)","₹18,999",4.2,"61,334 Ratings & 6,308 Reviews",6 GB RAM | 64 GB ROM | Expandable Upto 1 TB,POCO,X4 Pro 5G,Laser Blue,18999.0,61334.0,6308.0,6.0,64.0,1 TB
"APPLE iPhone 14 Plus (Starlight, 256 GB)","₹92,999",4.6,412 Ratings & 48 Reviews,256 GB ROM,APPLE,iPhone 14 Plus,Starlight,92999.0,412.0,48.0,,256.0,
"REDMI Note 10S (Deep Sea Blue, 64 GB)","₹14,999",4.4,"82,753 Ratings & 5,631 Reviews",6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,REDMI,Note 10S,Deep Sea Blue,14999.0,82753.0,5631.0,6.0,64.0,512 GB
Energizer Hardcase E100,"₹1,099",3.8,"1,315 Ratings & 172 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 8 GB,ENERGIZER,Hardcase E100,,1099.0,1315.0,172.0,,,8 GB
"REDMI Note 12 Pro 5G (Onyx Black, 128 GB)","₹26,999",,,8 GB RAM | 128 GB ROM,REDMI,Note 12 Pro 5G,Onyx Black,26999.0,,,8.0,128.0,
"POCO X4 Pro 5G (Yellow, 128 GB)","₹21,999",4.1,"14,202 Ratings & 1,467 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,POCO,X4 Pro 5G,Yellow,21999.0,14202.0,1467.0,8.0,128.0,1 TB
"IQOO Z6 5G (Chromatic Blue, 128 GB)","₹18,499",4.1,307 Ratings & 23 Reviews,8 GB RAM | 128 GB ROM,IQOO,Z6 5G,Chromatic Blue,18499.0,307.0,23.0,8.0,128.0,
Kechaoda K66 The Music House 4,"₹1,165",3.9,"15,548 Ratings & 1,207 Reviews",32 MB RAM | 64 MB ROM | Expandable Upto 32 GB,KECHAODA,K66 The Music House 4,,1165.0,15548.0,1207.0,,,32 GB
"realme 10 Pro+ 5G (Hyperspace, 128 GB)","₹25,999",4.5,"2,335 Ratings & 359 Reviews",8 GB RAM | 128 GB ROM,REALME,10 Pro 5G,Hyperspace,25999.0,2335.0,359.0,8.0,128.0,
"realme 10 Pro+ 5G (Dark Matter, 128 GB)","₹24,999",4.5,"4,381 Ratings & 565 Reviews",6 GB RAM | 128 GB ROM,REALME,10 Pro 5G,Dark Matter,24999.0,4381.0,565.0,6.0,128.0,
"MOTOROLA Edge 20 Fusion 5G (Electric Graphite, 128 GB)","₹20,999",4.1,"11,717 Ratings & 1,469 Reviews",8 GB RAM | 128 GB ROM,MOTOROLA,Edge 20 Fusion 5G,Electric Graphite,20999.0,11717.0,1469.0,8.0,128.0,
"MOTOROLA e32s (Misty Silver, 64 GB)","₹9,999",3.8,"1,332 Ratings & 161 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,MOTOROLA,e32s,Misty Silver,9999.0,1332.0,161.0,4.0,64.0,1 TB
"SAMSUNG Galaxy A33 (Awesome Peach, 128 GB)","₹25,999",4.1,"1,523 Ratings & 161 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,SAMSUNG,Galaxy A33,Awesome Peach,25999.0,1523.0,161.0,6.0,128.0,1 TB
"REDMI A1 (Light Green, 32 GB)","₹6,307",4.2,"1,893 Ratings & 141 Reviews",2 GB RAM | 32 GB ROM,REDMI,A1,Light Green,6307.0,1893.0,141.0,2.0,32.0,
"REDMI A1 (Light Blue, 32 GB)","₹6,352",4.2,"1,893 Ratings & 141 Reviews",2 GB RAM | 32 GB ROM,REDMI,A1,Light Blue,6352.0,1893.0,141.0,2.0,32.0,
"REDMI A1 (Black, 32 GB)","₹6,460",4.2,"1,893 Ratings & 141 Reviews",2 GB RAM | 32 GB ROM,REDMI,A1,Black,6460.0,1893.0,141.0,2.0,32.0,
