Model,Mrp,Rating,Review,Specs,Brand,Model_name,Color,Price,Ratings,Reviews,RAM,ROM,Expandable Upto
"OPPO A17 (Lake Bule, 64 GB)","₹13,400",4.4,"1,044 Ratings & 45 Reviews",4 GB RAM | 64 GB ROM,OPPO,A17,Lake Bule,13400.0,1044.0,45.0,4.0,64.0,
itel Power 110,"₹1,320",4.1,731 Ratings & 56 Reviews,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,ITEL,Power 110,,1320.0,731.0,56.0,,,32 GB
LAVA A5,"₹1,399",4.1,"12,395 Ratings & 1,175 Reviews",32 MB RAM | 24 MB ROM | Expandable Upto 32 GB,LAVA,A5,,1399.0,12395.0,1175.0,,,32 GB
"APPLE iPhone 14 Plus ((PRODUCT)RED, 128 GB)","₹82,999",4.6,412 Ratings & 48 Reviews,128 GB ROM,APPLE,iPhone 14 Plus,(PRODUCT)RED,82999.0,412.0,48.0,,128.0,
"MOTOROLA Edge 30 Fusion (Cosmic grey, 128 GB)","₹39,999",4.3,"1,806 Ratings & 343 Reviews",8 GB RAM | 128 GB ROM,MOTOROLA,Edge 30 Fusion,Cosmic grey,39999.0,1806.0,343.0,8.0,128.0,
"POCO M5 (Yellow, 128 GB)","₹12,999",4.3,"1,359 Ratings & 93 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,POCO,M5,Yellow,12999.0,1359.0,93.0,6.0,128.0,512 GB
"realme 10 Pro+ 5G (Hyperspace, 128 GB)","₹24,999",4.5,"4,381 Ratings & 565 Reviews",6 GB RAM | 128 GB ROM,REALME,10 Pro 5G,Hyperspace,24999.0,4381.0,565.0,6.0,128.0,
"realme 10 Pro+ 5G (Nebula Blue, 128 GB)","₹25,999",4.5,"2,335 Ratings & 359 Reviews",8 GB RAM | 128 GB ROM,REALME,10 Pro 5G,Nebula Blue,25999.0,2335.0,359.0,8.0,128.0,
"POCO X4 Pro 5G (Yellow, 64 GB)","₹18,999",4.2,"61,334 Ratings & 6,308 Reviews",6 GB RAM | 64 GB ROM | Expandable Upto 1 TB,POCO,X4 Pro 5G,Yellow,18999.0,61334.0,6308.0,6.0,64.0,1 TB
SAMSUNG GURU GT,"₹1,695",4.1,"3,207 Ratings & 204 Reviews",153 MB RAM | 153 MB ROM,SAMSUNG,GURU GT,,1695.0,3207.0,204.0,,,
"REDMI Note 10S (Shadow Black, 128 GB)","₹18,499",4.2,"7,183 Ratings & 667 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 512 GB,REDMI,Note 10S,Shadow Black,18499.0,7183.0,667.0,8.0,128.0,512 GB
"OPPO Reno7 5G (Startrails Blue, 256 GB)","₹28,999",4.2,"16,442 Ratings & 2,134 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,OPPO,Reno7 5G,Startrails Blue,28999.0,16442.0,2134.0,8.0,256.0,1 TB
"�Note 11 (Starburst White, 64 GB)","₹13,299",,,6 GB RAM | 64 GB ROM,NOTE,11,Starburst White,13299.0,,,6.0,64.0,
"APPLE iPhone 12 mini (Red, 256 GB)","₹52,999",4.5,"1,23,326 Ratings & 9,923 Reviews",256 GB ROM,APPLE,iPhone 12 mini,Red,52999.0,123326.0,9923.0,,256.0,
"REDMI 11 Prime 5G (Thunder Black, 128 GB)","₹15,899",4.2,174 Ratings & 15 Reviews,6 GB RAM | 128 GB ROM,REDMI,11 Prime 5G,Thunder Black,15899.0,174.0,15.0,6.0,128.0,
MU M5000,"₹1,299",3.9,"2,295 Ratings & 287 Reviews",32 MB RAM | 32 MB ROM,MU,M5000,,1299.0,2295.0,287.0,,,
"Redmi Note 11 (Space Black, 64 GB)","₹13,849",4.2,"9,161 Ratings & 718 Reviews",6 GB RAM | 64 GB ROM,REDMI,Note 11,Space Black,13849.0,9161.0,718.0,6.0,64.0,
"SAMSUNG S20 FE 5G (Cloud Navy, 128 GB)","₹34,466",4.2,"3,658 Ratings & 419 Reviews",8 GB RAM | 128 GB ROM,SAMSUNG,S20 FE 5G,Cloud Navy,34466.0,3658.0,419.0,8.0,128.0,
"SAMSUNG M53 5G (Deep Ocean Blue, 128 GB)","₹24,999",4.2,421 Ratings & 42 Reviews,6 GB RAM | 128 GB ROM,SAMSUNG,M53 5G,Deep Ocean Blue,24999.0,421.0,42.0,6.0,128.0,
"IQOO Z6 44W (Ravan Black, 128 GB)","₹14,969",4.3,667 Ratings & 62 Reviews,4 GB RAM | 128 GB ROM,IQOO,Z6 44W,Ravan Black,14969.0,667.0,62.0,4.0,128.0,
LAVA Flip,"₹2,028",4.2,"1,423 Ratings & 116 Reviews",56 MB RAM | 56 MB ROM,LAVA,Flip,,2028.0,1423.0,116.0,,,
"SAMSUNG Galaxy A53 (Awesome Black, 128 GB)","₹31,999",4.0,563 Ratings & 67 Reviews,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,SAMSUNG,Galaxy A53,Awesome Black,31999.0,563.0,67.0,6.0,128.0,1 TB
"realme C30s (Stripe Blue, 64 GB)","₹8,999",4.2,"3,588 Ratings & 217 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,REALME,C30s,Stripe Blue,8999.0,3588.0,217.0,4.0,64.0,1 TB
"POCO M5 (Power Black, 128 GB)","₹12,999",4.3,"1,359 Ratings & 93 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,POCO,M5,Power Black,12999.0,1359.0,93.0,6.0,128.0,512 GB
"realme C30s (Stripe Black, 64 GB)","₹8,999",4.2,"3,588 Ratings & 217 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,REALME,C30s,Stripe Black,8999.0,3588.0,217.0,4.0,64.0,1 TB
"SAMSUNG Galaxy M33 5G (Emarld Brown, 128 GB)","₹19,974",4.3,784 Ratings & 58 Reviews,8 GB RAM | 128 GB ROM,SAMSUNG,Galaxy M33 5G,Emarld Brown,19974.0,784.0,58.0,8.0,128.0,
"OPPO A15S (Rainbow Silver, 64 GB)","₹11,480",4.3,"5,488 Ratings & 302 Reviews",4 GB RAM | 64 GB ROM,OPPO,A15S,Rainbow Silver,11480.0,5488.0,302.0,4.0,64.0,
"OPPO A15s (Dynamic Black, 128 GB)","₹12,990",4.3,"5,488 Ratings & 302 Reviews",4 GB RAM | 128 GB ROM,OPPO,A15s,Dynamic Black,12990.0,5488.0,302.0,4.0,128.0,
"OPPO A15S (Fancy white, 128 GB)","₹11,999",4.3,"5,488 Ratings & 302 Reviews",4 GB RAM | 128 GB ROM,OPPO,A15S,Fancy white,11999.0,5488.0,302.0,4.0,128.0,
Micromax J22,"₹1,273",3.6,168 Ratings & 12 Reviews,32 MB RAM | 32 MB ROM,MICROMAX,J22,,1273.0,168.0,12.0,,,
"REDMI 9 Prime (Matte Black, 64 GB)","₹11,490",4.4,"2,26,830 Ratings & 15,261 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,REDMI,9 Prime,Matte Black,11490.0,226830.0,15261.0,4.0,64.0,512 GB
"REDMI A1 (Light Blue, 32 GB)","₹6,360",4.2,"1,893 Ratings & 141 Reviews",2 GB RAM | 32 GB ROM,REDMI,A1,Light Blue,6360.0,1893.0,141.0,2.0,32.0,
"REDMI A1 (Black, 32 GB)","₹6,470",4.2,"1,893 Ratings & 141 Reviews",2 GB RAM | 32 GB ROM,REDMI,A1,Black,6470.0,1893.0,141.0,2.0,32.0,
"REDMI A1 (Light Green, 32 GB)","₹6,318",4.2,"1,893 Ratings & 141 Reviews",2 GB RAM | 32 GB ROM,REDMI,A1,Light Green,6318.0,1893.0,141.0,2.0,32.0,
Salora Coral,₹899,3.8,521 Ratings & 49 Reviews,32 MB RAM | 32 MB ROM | Expandable Upto 8 GB,SALORA,Coral,,899.0,521.0,49.0,,,8 GB
LAVA Hero 600+,₹999,4.1,"7,896 Ratings & 720 Reviews",4 MB RAM | 3 MB ROM | Expandable Upto 32 GB,LAVA,Hero 600,,999.0,7896.0,720.0,,,32 GB
"realme 8 (Cyber Black, 128 GB)","₹15,999",4.4,"1,21,458 Ratings & 10,620 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,REALME,8,Cyber Black,15999.0,121458.0,10620.0,4.0,128.0,256 GB
"realme C21Y (Cross Black, 64 GB)","₹10,499",4.5,"2,53,614 Ratings & 9,536 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,REALME,C21Y,Cross Black,10499.0,253614.0,9536.0,4.0,64.0,256 GB
KARBONN K9 Yuva,"₹1,330",3.9,571 Ratings & 38 Reviews,64 MB RAM | 32 KB ROM,KARBONN,K9 Yuva,,1330.0,571.0,38.0,,,
Micromax X755,"₹1,429",3.8,"4,454 Ratings & 403 Reviews",32 MB RAM | 32 MB ROM,MICROMAX,X755,,1429.0,4454.0,403.0,,,
"Tecno Pova 3 (Eco Black, 64 GB)","₹10,955",4.2,253 Ratings & 12 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,TECNO,Pova 3,Eco Black,10955.0,253.0,12.0,4.0,64.0,512 GB
KARBONN K9 max,"₹1,499",4.0,"3,494 Ratings & 319 Reviews",64 MB RAM | 64 MB ROM,KARBONN,K9 max,,1499.0,3494.0,319.0,,,
"Tecno Spark 9T (Turquoise Cyan, 64 GB)","₹9,370",4.3,48 Ratings & 4 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,TECNO,Spark 9T,Turquoise Cyan,9370.0,48.0,4.0,4.0,64.0,512 GB
"APPLE iPhone 14 Plus ((PRODUCT)RED, 256 GB)","₹92,999",4.6,412 Ratings & 48 Reviews,256 GB ROM,APPLE,iPhone 14 Plus,(PRODUCT)RED,92999.0,412.0,48.0,,256.0,
"Infinix Hot 11 (Silver Wave, 64 GB)","₹9,999",4.3,"16,022 Ratings & 1,375 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,INFINIX,Hot 11,Silver Wave,9999.0,16022.0,1375.0,4.0,64.0,256 GB
"IQOO Z6 Lite 5G (Stellar Green, 64 GB)","₹14,500",,,4 GB RAM | 64 GB ROM,IQOO,Z6 Lite 5G,Stellar Green,14500.0,,,4.0,64.0,
"IQOO Z6 Lite 5G (Mystic Night, 64 GB)","₹14,500",,,4 GB RAM | 64 GB ROM,IQOO,Z6 Lite 5G,Mystic Night,14500.0,,,4.0,64.0,
"Infinix Hot 11 (Emerald Green, 64 GB)","₹9,999",4.3,"16,022 Ratings & 1,375 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,INFINIX,Hot 11,Emerald Green,9999.0,16022.0,1375.0,4.0,64.0,256 GB
Kechaoda K28,"₹1,480",4.1,"2,691 Ratings & 241 Reviews",32 MB RAM | 64 MB ROM | Expandable Upto 16 GB,KECHAODA,K28,,1480.0,2691.0,241.0,,,16 GB
"POCO M3 (Yellow, 64 GB)","₹10,999",4.3,"1,24,433 Ratings & 8,927 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,POCO,M3,Yellow,10999.0,124433.0,8927.0,4.0,64.0,512 GB
"vivo Y22 (Metaverse Green, 128 GB)","₹16,499",4.3,404 Ratings & 25 Reviews,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,VIVO,Y22,Metaverse Green,16499.0,404.0,25.0,6.0,128.0,1 TB
"Xiaomi 11Lite NE (Tuscany Coral, 128 GB)","₹26,430",4.2,"1,532 Ratings & 167 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,XIAOMI,11Lite NE,Tuscany Coral,26430.0,1532.0,167.0,8.0,128.0,1 TB
itel Magic3 Smart Touch Keypad,"₹1,499",4.1,786 Ratings & 72 Reviews,8 MB RAM | 8 MB ROM,ITEL,Magic3 Smart Touch Keypad,,1499.0,786.0,72.0,,,
"Redmi Note 11 (Space Black, 64 GB)","₹12,520",4.2,"9,194 Ratings & 843 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,REDMI,Note 11,Space Black,12520.0,9194.0,843.0,4.0,64.0,1 TB
Kechaoda K33,"₹1,119",4.0,"8,248 Ratings & 552 Reviews",32 MB RAM | 32 MB ROM,KECHAODA,K33,,1119.0,8248.0,552.0,,,
"realme Narzo 30 (Racing Blue, 128 GB)","₹15,499",4.3,"76,114 Ratings & 6,042 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,REALME,Narzo 30,Racing Blue,15499.0,76114.0,6042.0,6.0,128.0,256 GB
"realme Narzo 30 (Racing Silver, 128 GB)","₹15,499",4.3,"76,114 Ratings & 6,042 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,REALME,Narzo 30,Racing Silver,15499.0,76114.0,6042.0,6.0,128.0,256 GB
Micromax J2,₹917,3.7,301 Ratings & 17 Reviews,32 MB RAM | 32 MB ROM,MICROMAX,J2,,917.0,301.0,17.0,,,
"SAMSUNG M53 5G (Emerald Brown, 128 GB)","₹24,790",4.2,421 Ratings & 42 Reviews,6 GB RAM | 128 GB ROM,SAMSUNG,M53 5G,Emerald Brown,24790.0,421.0,42.0,6.0,128.0,
"realme 50i Prime (Mint Green, 64 GB)","₹9,488",,,4 GB RAM | 64 GB ROM,REALME,50i Prime,Mint Green,9488.0,,,4.0,64.0,
LAVA A1 2021,"₹1,279",4.1,"3,851 Ratings & 343 Reviews",32 MB RAM | 24 MB ROM | Expandable Upto 32 GB,LAVA,A1 2021,,1279.0,3851.0,343.0,,,32 GB
"REDMI 11 Prime (Peppy Purple, 64 GB)","₹11,978",4.3,48 Ratings & 4 Reviews,4 GB RAM | 64 GB ROM,REDMI,11 Prime,Peppy Purple,11978.0,48.0,4.0,4.0,64.0,
"SAMSUNG Galaxy F12 (Sky Blue, 128 GB)","₹11,499",4.3,"2,97,273 Ratings & 23,471 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,SAMSUNG,Galaxy F12,Sky Blue,11499.0,297273.0,23471.0,4.0,128.0,512 GB
"REDMI 11 Prime 5G (Thunder Black, 64 GB)","₹13,499",4.2,791 Ratings & 57 Reviews,4 GB RAM | 64 GB ROM,REDMI,11 Prime 5G,Thunder Black,13499.0,791.0,57.0,4.0,64.0,
"OPPO A74 5G BLACK (Fluid Black, 128 GB)","₹17,480",4.3,"1,770 Ratings & 138 Reviews",6 GB RAM | 128 GB ROM,OPPO,A74 5G BLACK,Fluid Black,17480.0,1770.0,138.0,6.0,128.0,
KARBONN K9 Punch,"₹1,490",,,52 MB RAM | 32 MB ROM | Expandable Upto 32 GB,KARBONN,K9 Punch,,1490.0,,,,,32 GB
"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)","₹13,499",4.3,"64,571 Ratings & 5,965 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,SAMSUNG,Galaxy F22,Denim Blue,13499.0,64571.0,5965.0,6.0,128.0,1 TB
Kechaoda A26,"₹1,189",4.1,"14,177 Ratings & 1,019 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,KECHAODA,A26,,1189.0,14177.0,1019.0,,,16 GB
"OnePlus 10R 5G (Forest Green, 128 GB)","₹34,849",4.3,"1,460 Ratings & 128 Reviews",8 GB RAM | 128 GB ROM,ONEPLUS,10R 5G,Forest Green,34849.0,1460.0,128.0,8.0,128.0,
"realme C20 (Cool Blue, 32 GB)","₹7,499",4.4,"2,96,108 Ratings & 14,044 Reviews",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,REALME,C20,Cool Blue,7499.0,296108.0,14044.0,2.0,32.0,256 GB
Nokia 105 SS 2021,"₹1,382",4.2,"82,937 Ratings & 6,238 Reviews",4 MB RAM | 4 MB ROM,NOKIA,105 SS 2021,,1382.0,82937.0,6238.0,,,
"Tecno POVA 4 (Cryolite Blue, 128 GB)","₹12,845",4.3,4 Ratings & 1 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,TECNO,POVA 4,Cryolite Blue,12845.0,4.0,1.0,8.0,128.0,2 TB
Micromax X746,"₹1,450",4.0,"20,881 Ratings & 2,240 Reviews",32 MB RAM | 32 MB ROM,MICROMAX,X746,,1450.0,20881.0,2240.0,,,
"REDMI 9 Power (Electric Green, 64 GB)","₹11,499",4.3,"2,41,660 Ratings & 17,034 Reviews",4 GB RAM | 64 GB ROM,REDMI,9 Power,Electric Green,11499.0,241660.0,17034.0,4.0,64.0,
itel U20,"₹1,099",4.1,867 Ratings & 69 Reviews,4 MB RAM | 32 MB ROM | Expandable Upto 32 GB,ITEL,U20,,1099.0,867.0,69.0,,,32 GB
"Micromax IN 2B (Green, 64 GB)","₹6,999",3.9,"21,229 Ratings & 3,299 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,MICROMAX,IN 2B,Green,6999.0,21229.0,3299.0,4.0,64.0,256 GB
Good One 2192,"₹1,099",4.0,816 Ratings & 159 Reviews,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,GOOD,One 2192,,1099.0,816.0,159.0,,,32 GB
"REDMI Note 10T 5G (Mint Green, 64 GB)","₹14,999",4.3,"44,119 Ratings & 3,200 Reviews",4 GB RAM | 64 GB ROM,REDMI,Note 10T 5G,Mint Green,14999.0,44119.0,3200.0,4.0,64.0,
"realme C21 (Cross Blue, 64 GB)","₹10,499",4.4,"1,46,920 Ratings & 7,083 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,REALME,C21,Cross Blue,10499.0,146920.0,7083.0,4.0,64.0,256 GB
Motorola a50,"₹1,649",4.1,"1,463 Ratings & 139 Reviews",4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,MOTOROLA,a50,,1649.0,1463.0,139.0,,,32 GB
itel Muzik 110,"₹1,253",4.1,331 Ratings & 36 Reviews,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,ITEL,Muzik 110,,1253.0,331.0,36.0,,,32 GB
Good One 2192,"₹1,049",4.0,816 Ratings & 159 Reviews,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,GOOD,One 2192,,1049.0,816.0,159.0,,,32 GB
Micromax X413,₹999,4.0,"2,812 Ratings & 241 Reviews",32 MB RAM | 32 MB ROM,MICROMAX,X413,,999.0,2812.0,241.0,,,
Micromax S115,₹943,4.0,88 Ratings & 5 Reviews,32 MB RAM | 32 MB ROM,MICROMAX,S115,,943.0,88.0,5.0,,,
Micromax S115,₹980,4.0,88 Ratings & 5 Reviews,32 MB RAM | 32 MB ROM,MICROMAX,S115,,980.0,88.0,5.0,,,
"Tecno Camon 19 (Memphis Green, 128 GB)","₹14,960",4.2,174 Ratings & 20 Reviews,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,TECNO,Camon 19,Memphis Green,14960.0,174.0,20.0,6.0,128.0,512 GB
"realme Narzo 30 5G (Racing Blue, 128 GB)","₹16,999",4.3,"84,215 Ratings & 7,331 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,REALME,Narzo 30 5G,Racing Blue,16999.0,84215.0,7331.0,6.0,128.0,1 TB
"MOTOROLA G30 (Dark Pearl, 64 GB)","₹10,999",4.1,"36,233 Ratings & 3,552 Reviews",4 GB RAM | 64 GB ROM,MOTOROLA,G30,Dark Pearl,10999.0,36233.0,3552.0,4.0,64.0,
"Infinix Smart 5A (Ocean Wave, 32 GB)","₹7,199",4.3,"78,425 Ratings & 5,384 Reviews",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,INFINIX,Smart 5A,Ocean Wave,7199.0,78425.0,5384.0,2.0,32.0,256 GB
"Infinix Smart 5A (Quetzal Cyan, 32 GB)","₹7,199",4.3,"78,425 Ratings & 5,384 Reviews",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,INFINIX,Smart 5A,Quetzal Cyan,7199.0,78425.0,5384.0,2.0,32.0,256 GB
"APPLE iPhone 14 ((PRODUCT)RED, 128 GB)","₹73,990",4.6,981 Ratings & 67 Reviews,128 GB ROM,APPLE,iPhone 14,(PRODUCT)RED,73990.0,981.0,67.0,,128.0,
KARBONN K9 PUNCH,"₹1,480",,,52 MB RAM | 32 MB ROM | Expandable Upto 32 GB,KARBONN,K9 PUNCH,,1480.0,,,,,32 GB
"SAMSUNG Galaxy A13 (Green, 128 GB)","₹15,499",4.1,635 Ratings & 47 Reviews,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,SAMSUNG,Galaxy A13,Green,15499.0,635.0,47.0,4.0,128.0,1 TB
Snexian BOLD 1K,₹999,3.6,34 Ratings & 2 Reviews,32 MB RAM | 32 MB ROM,SNEXIAN,BOLD 1K,,999.0,34.0,2.0,,,
Nokia 105 SS 2021,"₹1,448",4.2,"82,937 Ratings & 6,238 Reviews",4 MB RAM | 4 MB ROM,NOKIA,105 SS 2021,,1448.0,82937.0,6238.0,,,
"Redmi 9A Sport (Coral Green, 32 GB)","₹6,599",4.1,"24,369 Ratings & 1,859 Reviews",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,REDMI,9A Sport,Coral Green,6599.0,24369.0,1859.0,2.0,32.0,512 GB
"Nokia C21 Plus (Dark Cyan, 64 GB)","₹9,999",3.8,94 Ratings & 16 Reviews,4 GB RAM | 64 GB ROM,NOKIA,C21 Plus,Dark Cyan,9999.0,94.0,16.0,4.0,64.0,
"REDMI Note 11 (Space Black, 64 GB)","₹12,950",4.3,156 Ratings & 13 Reviews,4 GB RAM | 64 GB ROM,REDMI,Note 11,Space Black,12950.0,156.0,13.0,4.0,64.0,
"APPLE iPhone 14 Pro Max (Deep Purple, 128 GB)","₹1,39,900",4.7,418 Ratings & 44 Reviews,128 GB ROM,APPLE,iPhone 14 Pro Max,Deep Purple,139900.0,418.0,44.0,,128.0,
Kechaoda K9,"₹1,350",4.1,"2,590 Ratings & 242 Reviews",32 MB RAM | 64 MB ROM | Expandable Upto 16 GB,KECHAODA,K9,,1350.0,2590.0,242.0,,,16 GB
"vivo Y15c (Mystic Blue, 32 GB)","₹9,499",4.1,"1,047 Ratings & 75 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,VIVO,Y15c,Mystic Blue,9499.0,1047.0,75.0,3.0,32.0,1 TB
"vivo V23e 5G (Sunshine Gold, 128 GB)","₹22,997",4.2,"1,890 Ratings & 172 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,VIVO,V23e 5G,Sunshine Gold,22997.0,1890.0,172.0,8.0,128.0,1 TB
Nokia 125 DS,"₹2,215",3.8,815 Ratings & 52 Reviews,4 MB RAM | 4 MB ROM,NOKIA,125 DS,,2215.0,815.0,52.0,,,
"realme 8 (Cyber Black, 128 GB)","₹17,999",4.4,"95,489 Ratings & 8,376 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,REALME,8,Cyber Black,17999.0,95489.0,8376.0,8.0,128.0,256 GB
"realme 8 (Cyber Silver, 128 GB)","₹15,999",4.4,"1,21,458 Ratings & 10,620 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,REALME,8,Cyber Silver,15999.0,121458.0,10620.0,4.0,128.0,256 GB
"realme 8 (Cyber Black, 128 GB)","₹16,999",4.4,"1,21,376 Ratings & 9,957 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,REALME,8,Cyber Black,16999.0,121376.0,9957.0,6.0,128.0,256 GB
"SAMSUNG Galaxy M32 (Light Blue, 64 GB)","₹13,999",4.2,"4,237 Ratings & 431 Reviews",4 GB RAM | 64 GB ROM,SAMSUNG,Galaxy M32,Light Blue,13999.0,4237.0,431.0,4.0,64.0,
Snexian Rock,"₹1,399",4.0,"11,586 Ratings & 739 Reviews",32 MB RAM | 32 MB ROM,SNEXIAN,Rock,,1399.0,11586.0,739.0,,,
"realme Narzo 30 (Racing Blue, 64 GB)","₹13,499",4.4,"1,05,997 Ratings & 8,981 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,REALME,Narzo 30,Racing Blue,13499.0,105997.0,8981.0,4.0,64.0,256 GB
Micromax X756,"₹1,549",3.8,"4,739 Ratings & 508 Reviews",32 MB RAM | 32 MB ROM,MICROMAX,X756,,1549.0,4739.0,508.0,,,
Kechaoda K200,"₹1,279",4.0,112 Ratings & 5 Reviews,32 MB RAM | 32 MB ROM,KECHAODA,K200,,1279.0,112.0,5.0,,,
"REDMI 9 Power (Fiery Red, 64 GB)","₹11,499",4.3,"2,41,660 Ratings & 17,034 Reviews",4 GB RAM | 64 GB ROM,REDMI,9 Power,Fiery Red,11499.0,241660.0,17034.0,4.0,64.0,
"realme Narzo 50i (Mint Green, 64 GB)","₹8,999",4.3,"61,879 Ratings & 3,488 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,REALME,Narzo 50i,Mint Green,8999.0,61879.0,3488.0,4.0,64.0,256 GB
Kechaoda K115,"₹1,200",4.1,"28,686 Ratings & 2,225 Reviews",32 MB RAM | 32 MB ROM,KECHAODA,K115,,1200.0,28686.0,2225.0,,,
"SAMSUNG Galaxy A33 (Awesome Blue, 128 GB)","₹25,999",4.1,"1,523 Ratings & 161 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,SAMSUNG,Galaxy A33,Awesome Blue,25999.0,1523.0,161.0,6.0,128.0,1 TB
Kechaoda K115,"₹1,139",4.1,"28,686 Ratings & 2,225 Reviews",32 MB RAM | 32 MB ROM,KECHAODA,K115,,1139.0,28686.0,2225.0,,,
"Infinix Hot 11S (7° Purple, 128 GB)","₹11,999",4.3,"48,526 Ratings & 5,194 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,INFINIX,Hot 11S,7° Purple,11999.0,48526.0,5194.0,4.0,128.0,256 GB
Kechaoda K115,"₹1,170",4.1,"28,686 Ratings & 2,225 Reviews",32 MB RAM | 32 MB ROM,KECHAODA,K115,,1170.0,28686.0,2225.0,,,
"realme 50i Prime (Dark Blue, 64 GB)","₹9,468",,,4 GB RAM | 64 GB ROM,REALME,50i Prime,Dark Blue,9468.0,,,4.0,64.0,
"ASUS ROG 5s (Black, 128 GB)","₹39,999",4.2,797 Ratings & 117 Reviews,8 GB RAM | 128 GB ROM,ASUS,ROG 5s,Black,39999.0,797.0,117.0,8.0,128.0,
"Nokia C21 Plus (Dark Cyan, 64 GB)","₹11,299",3.8,94 Ratings & 16 Reviews,4 GB RAM | 64 GB ROM,NOKIA,C21 Plus,Dark Cyan,11299.0,94.0,16.0,4.0,64.0,
"APPLE iPhone 14 Plus (Midnight, 128 GB)","₹82,999",4.6,412 Ratings & 48 Reviews,128 GB ROM,APPLE,iPhone 14 Plus,Midnight,82999.0,412.0,48.0,,128.0,
"Moto G71 5G (Neptune Green, 128 GB)","₹16,999",4.2,"21,817 Ratings & 2,541 Reviews",6 GB RAM | 128 GB ROM,MOTO,G71 5G,Neptune Green,16999.0,21817.0,2541.0,6.0,128.0,
"MOTOROLA G40 Fusion (Frosted Champagne, 64 GB)","₹14,499",4.2,"32,851 Ratings & 3,699 Reviews",4 GB RAM | 64 GB ROM,MOTOROLA,G40 Fusion,Frosted Champagne,14499.0,32851.0,3699.0,4.0,64.0,
"Redmi Note 11 PRO Plus 5G (Stealth Black, 128 GB)","₹20,296",4.2,"5,366 Ratings & 457 Reviews",6 GB RAM | 128 GB ROM,REDMI,Note 11 PRO Plus 5G,Stealth Black,20296.0,5366.0,457.0,6.0,128.0,
"IQOO Z6 44W (Lumina Blue, 128 GB)","₹14,885",4.3,667 Ratings & 62 Reviews,4 GB RAM | 128 GB ROM,IQOO,Z6 44W,Lumina Blue,14885.0,667.0,62.0,4.0,128.0,
"itel Vision 3 (Jewel Blue, 64 GB)","₹6,929",4.0,412 Ratings & 49 Reviews,3 GB RAM | 64 GB ROM | Expandable Upto 128 GB,ITEL,Vision 3,Jewel Blue,6929.0,412.0,49.0,3.0,64.0,128 GB
